iter	Passed	Remaining
1265	8342	5845
1266	8348	5838
1267	8353	5830
1268	8362	5825
1269	8368	5818
1270	8374	5811
1271	8381	5804
1272	8388	5798
1273	8394	5791
1274	8401	5785
1275	8407	5778
1276	8413	5771
1277	8420	5764
1278	8426	5758
1279	8431	5750
1280	8437	5743
1281	8443	5736
1282	8449	5729
1283	8455	5722
1284	8461	5715
1285	8467	5708
1286	8474	5702
1287	8481	5695
1288	8487	5689
1289	8494	5682
1290	8499	5674
1291	8504	5667
1292	8511	5661
1293	8516	5653
1294	8522	5646
1295	8528	5639
1296	8535	5633
1297	8541	5626
1298	8547	5619
1299	8553	5612
1300	8559	5605
1301	8566	5599
1302	8572	5591
1303	8577	5584
1304	8583	5577
1305	8588	5570
1306	8594	5563
1307	8599	5555
1308	8606	5548
1309	8611	5541
1310	8618	5535
1311	8624	5528
1312	8630	5521
1313	8636	5514
1314	8642	5507
1315	8647	5499
1316	8652	5492
1317	8659	5486
1318	8664	5478
1319	8670	5471
1320	8677	5465
1321	8683	5458
1322	8689	5451
1323	8695	5444
1324	8708	5441
1325	8717	5436
1326	8728	5433
1327	8739	5429
1328	8746	5423
1329	8752	5415
1330	8758	5409
1331	8765	5402
1332	8771	5395
1333	8776	5388
1334	8782	5381
1335	8788	5374
1336	8794	5367
1337	8800	5360
1338	8805	5352
1339	8811	5346
1340	8817	5339
1341	8823	5332
1342	8829	5325
1343	8836	5318
1344	8841	5311
1345	8848	5305
1346	8854	5297
1347	8859	5290
1348	8865	5283
1349	8871	5277
1350	8877	5269
1351	8883	5263
1352	8890	5256
1353	8895	5249
1354	8901	5242
1355	8907	5235
1356	8912	5227
1357	8918	5221
1358	8923	5213
1359	8929	5206
1360	8935	5199
1361	8941	5193
1362	8946	5185
1363	8952	5178
1364	8959	5171
1365	8966	5165
1366	8972	5158
1367	8978	5152
1368	8984	5145
1369	8990	5138
1370	8997	5131
1371	9002	5124
1372	9008	5117
1373	9014	5110
1374	9019	5103
1375	9025	5096
1376	9031	5089
1377	9037	5082
1378	9042	5075
1379	9048	5068
1380	9055	5061
1381	9061	5055
1382	9067	5048
1383	9072	5041
1384	9078	5034
1385	9083	5026
1386	9089	5020
1387	9096	5013
1388	9102	5006
1389	9108	4999
1390	9114	4992
1391	9119	4985
1392	9124	4978
1393	9130	4971
1394	9136	4964
1395	9142	4957
1396	9149	4951
1397	9155	4944
1398	9162	4938
1399	9168	4931
1400	9174	4924
1401	9182	4918
1402	9187	4911
1403	9194	4904
1404	9199	4897
1405	9204	4890
1406	9210	4883
1407	9216	4876
1408	9221	4869
1409	9227	4862
1410	9232	4855
1411	9237	4847
1412	9244	4841
1413	9257	4838
1414	9263	4831
1415	9272	4826
1416	9281	4820
1417	9291	4816
1418	9299	4810
1419	9306	4804
1420	9316	4799
1421	9326	4794
1422	9336	4789
1423	9346	4784
1424	9353	4778
1425	9361	4772
1426	9372	4768
1427	9380	4762
1428	9388	4756
1429	9396	4750
1430	9405	4745
1431	9412	4739
1432	9422	4734
1433	9430	4728
1434	9441	4724
1435	9450	4718
1436	9458	4712
1437	9465	4706
1438	9471	4699
1439	9479	4693
1440	9487	4687
1441	9496	4682
1442	9503	4676
1443	9509	4669
1444	9514	4661
1445	9521	4655
1446	9527	4648
1447	9533	4641
1448	9538	4634
1449	9545	4627
1450	9552	4621
1451	9559	4615
1452	9564	4608
1453	9570	4600
1454	9575	4593
1455	9585	4588
1456	9597	4584
1457	9608	4580
1458	9620	4576
1459	9630	4571
1460	9637	4564
1461	9643	4558
1462	9650	4551
1463	9656	4544
1464	9662	4537
1465	9668	4530
1466	9673	4523
1467	9680	4517
1468	9688	4510
1469	9693	4503
1470	9699	4497
1471	9705	4489
1472	9710	4482
1473	9716	4476
1474	9722	4469
1475	9728	4462
1476	9734	4455
1477	9739	4448
1478	9747	4442
1479	9753	4435
1480	9759	4428
1481	9765	4421
1482	9772	4415
1483	9778	4408
1484	9785	4401
1485	9790	4394
1486	9797	4388
1487	9802	4380
1488	9808	4374
1489	9816	4368
1490	9823	4361
1491	9828	4354
1492	9833	4347
1493	9840	4340
1494	9845	4333
1495	9852	4326
1496	9857	4319
1497	9864	4313
1498	9871	4306
1499	9877	4299
1500	9884	4293
1501	9889	4286
1502	9894	4278
1503	9900	4272
1504	9906	4265
1505	9911	4258
1506	9916	4250
1507	9923	4244
1508	9928	4237
1509	9935	4230
1510	9941	4224
1511	9947	4217
1512	9953	4210
1513	9958	4203
1514	9964	4196
1515	9970	4189
1516	9976	4182
1517	9982	4175
1518	9989	4169
1519	9994	4161
1520	9999	4155
1521	10005	4148
1522	10011	4141
1523	10017	4134
1524	10023	4127
1525	10029	4120
1526	10035	4114
1527	10043	4108
1528	10049	4101
1529	10055	4094
1530	10060	4087
1531	10065	4080
1532	10072	4073
1533	10081	4068
1534	10087	4061
1535	10093	4054
1536	10099	4047
1537	10105	4041
1538	10111	4034
1539	10116	4026
1540	10123	4020
1541	10127	4013
1542	10133	4006
1543	10139	3999
1544	10146	3992
1545	10151	3985
1546	10157	3978
1547	10165	3972
1548	10170	3965
1549	10178	3959
1550	10184	3952
1551	10191	3946
1552	10197	3939
1553	10203	3932
1554	10208	3925
1555	10215	3919
1556	10221	3912
1557	10226	3905
1558	10231	3898
1559	10237	3891
1560	10243	3884
1561	10248	3877
1562	10254	3870
1563	10260	3864
1564	10266	3857
1565	10272	3850
1566	10278	3843
1567	10285	3837
1568	10291	3830
1569	10297	3824
1570	10306	3818
1571	10315	3812
1572	10324	3806
1573	10332	3800
1574	10340	3794
1575	10346	3788
1576	10356	3782
1577	10368	3778
1578	10377	3772
1579	10384	3766
1580	10393	3760
1581	10401	3754
1582	10412	3749
1583	10420	3743
1584	10428	3737
1585	10436	3731
1586	10443	3724
1587	10449	3718
1588	10461	3713
1589	10466	3706
1590	10472	3699
1591	10477	3692
1592	10483	3685
1593	10490	3678
1594	10494	3671
1595	10500	3664
1596	10505	3657
1597	10511	3650
1598	10519	3644
1599	10525	3638
1600	10532	3631
1601	10538	3624
1602	10543	3617
1603	10549	3610
1604	10555	3604
1605	10561	3597
1606	10567	3590
1607	10573	3583
1608	10579	3576
1609	10586	3570
1610	10591	3563
1611	10598	3556
1612	10605	3550
1613	10610	3543
1614	10617	3536
1615	10623	3530
1616	10630	3523
1617	10636	3516
1618	10641	3509
1619	10647	3503
1620	10654	3496
1621	10660	3489
1622	10666	3483
1623	10672	3476
1624	10678	3469
1625	10685	3463
1626	10691	3456
1627	10697	3449
1628	10703	3443
1629	10709	3436
1630	10714	3429
1631	10721	3422
1632	10727	3415
1633	10732	3408
1634	10738	3402
1635	10743	3395
1636	10749	3388
1637	10756	3381
1638	10762	3375
1639	10768	3368
1640	10775	3362
1641	10780	3355
1642	10786	3348
1643	10792	3341
1644	10798	3334
1645	10805	3328
1646	10811	3321
1647	10817	3314
1648	10823	3308
1649	10829	3301
1650	10836	3294
1651	10842	3288
1652	10847	3281
1653	10853	3274
1654	10859	3267
1655	10864	3260
1656	10870	3253
1657	10876	3247
1658	10882	3240
1659	10888	3233
1660	10894	3227
1661	10901	3220
1662	10907	3213
1663	10913	3207
1664	10919	3200
1665	10925	3193
1666	10929	3186
1667	10935	3179
1668	10941	3172
1669	10948	3166
1670	10954	3159
1671	10960	3152
1672	10966	3146
1673	10973	3139
1674	10979	3133
1675	10984	3126
1676	10991	3119
1677	10997	3113
